"Option","Sp","IDplant","Chamber","Timehour","round","Cycle","Time10MIN","Pr","Status","BattV","Flow_mean","PAR_ext","HR_ext","T_ext","VPD_ext","Tc","HRc","PARc","VPDc","WP","E","A","Tleaf","VPDleaf","gtotal","gs","WPgroup","VPDgroup","WUE","vpc"
"3d","fag","fag01",4,2024-09-11 12:00:00,4,461.5,2024-09-11 11:40:00,932.909722222222,1,12.04,35.3275132513169,1645.36666666667,44.2078333333334,23.63675,16.3656080172818,34.2965,48.327,1592.45,28.1272140907644,-0.0979931012856695,6.61837240604224,12.4164904556555,34.2872158729786,28.1279546523103,213.272246643509,577.26602300396,"(0, -0.1 MPa)",NA,1.87606403718229,26.2522556943985
"3d","fag","fag01",4,2024-09-11 13:00:00,4,464.5,2024-09-11 12:55:00,927.888888888889,1,12.04,33.9601521402058,1524.53333333334,45.7173333333334,23.95675,16.2260034404445,33.8885,48.779,1558.7,27.1932046139522,-0.0979931012856695,5.83303142780855,11.362011658357,34.4228860551963,28.7931695499989,180.736325317034,378.835058962479,"(0, -0.1 MPa)",NA,1.9478742398317,25.9026734986197
"3d","fag","fag01",4,2024-09-11 14:00:00,4,467,2024-09-11 13:53:20,931.365740740741,1,12.04,34.3565965846503,1038.7,46.3785,24.0640555555556,16.1594896136419,32.2226666666667,51.7296666666667,1161.2,24.0770094724537,-0.0979931012856695,5.39235055004859,11.6348122490047,31.8043731549084,22.9762588431966,206.080896073857,624.045946072361,"(0, -0.1 MPa)",NA,2.15765131384121,25.0185546079906
"3d","fag","fag01",4,2024-09-11 15:00:00,4,469.5,2024-09-11 14:55:00,931.020833333333,1,12.04,34.3710410290947,356.616666666667,47.57175,23.8975833333333,15.6140047473595,28.333,51.5875,643.7,19.0487738788093,-0.0979931012856695,2.45892357423699,8.79723301377572,28.5367785960292,19.8725720072648,117.757258210734,179.599326819457,"(0, -0.1 MPa)","VPD 1-2 kPa",3.57767647028458,19.9667845405907
"3d","fag","fag01",4,2024-09-12 09:00:00,4,515,2024-09-12 09:10:00,931.055555555556,1,12.04,34.3514854735392,973.7,54.9375,21.0791666666667,11.3104283988719,29.234,56.947,911.2,17.5562427464462,-0.0979931012856695,4.44617688113028,14.6674911278433,28.636861576013,16.1715163739564,247.375565076707,813.951537030545,"(0, -0.1 MPa)","VPD 1-2 kPa",3.29889959846011,23.2219672422798
"3d","fag","fag01",4,2024-09-12 10:00:00,4,517,2024-09-12 09:56:40,931.361111111111,1,12.0397777777778,33.5474299179836,931.477777777777,53.0643333333333,21.4568333333333,12.0578941659805,29.1336666666667,54.2286666666667,798.7,18.5904633304111,-0.0979931012856695,3.91276699149269,13.2339272436353,28.5427088741677,17.2218849403548,203.896757873634,483.319588546914,"(0, -0.1 MPa)","VPD 1-2 kPa",3.382242610513,21.9857251929768
"3d","fag","fag01",4,2024-09-12 11:00:00,4,519.5,2024-09-12 11:00:00,930.9375,1,12.04,34.0749576957614,1024.74166666667,50.0165833333333,22.09075,13.3457532241012,30.8,53.0155,1073.7,20.9470479300661,-0.0979931012856695,4.94353769349616,13.2202910733637,30.3500275032954,19.8148938516869,225.234123949997,723.945207289024,"(0, -0.1 MPa)","VPD 1-2 kPa",2.67425716016216,23.6516317656061
"3d","fag","fag01",4,2024-09-12 12:00:00,4,522,2024-09-12 11:56:40,930.49537037037,1,12.04,33.6909669550207,1600.08888888889,46.5073333333333,23.1239444444445,15.2212417822413,33.1373333333333,52.0066666666667,1619.53333333333,24.4547987742543,-0.0979931012856695,6.43992401011682,11.4903685393395,33.3562598090207,25.0867908430545,231.654384327882,772.634464143149,"(0, -0.1 MPa)",NA,1.78423977073156,26.480737644348
"3d","fag","fag01",4,2024-09-12 13:00:00,4,524.5,2024-09-12 13:00:00,930.048611111111,1,12.04,32.3486243624281,1149.74166666666,44.8994166666667,22.99325,15.5471496004907,30.8425,48.486,1119.95,23.0527729529125,-0.0979931012856695,4.10643011739578,11.1234383517401,31.2830913697287,24.3000605662442,150.20069503914,261.666519381668,"(0, -0.1 MPa)",NA,2.7087854982893,21.6834056089375
"3d","fag","fag01",4,2024-09-12 14:00:00,4,527,2024-09-12 13:56:40,929.972222222222,1,12.04,32.5464854735392,1010.55606060606,42.7785934343434,23.410297979798,16.5573514683481,32.8231666666667,47.9811666666667,1327.03333333333,26.0420385879135,-0.0979931012856695,5.50164712608237,12.0694628478719,32.8889997426599,26.3017267049566,192.704890528418,503.606469421192,"(0, -0.1 MPa)",NA,2.19379079960483,24.0039529592052
